Unnamed: 0,n_users,n_items,n_inter,sparsity,kg_entities,kg_relations,kg_triples,kg_items,cpu_cores,ram_size,is_gpu,model_name,model_type,real_value,predicted_value,abs_error,percentage_error,class
53.0,22155.0,54458.0,1465871.0,0.9987850390735068,26315.0,16.0,96476.0,11446.0,4.0,16.0,0.0,2.0,0.0,16.8196985574549,21.24363810308423,4.423939545629331,26.30213336176904,0
13.0,19841.0,24878.0,218457.0,0.9995574249320202,32907.0,5.0,29822.0,816701.0,4.0,27.40580368041992,1.0,3.0,1.0,3.0457506827599,10.690537723111046,7.6447870403511455,250.99845117407438,0
144.0,23679.0,4414.0,1048575.0,0.9899676237184808,0.0,0.0,0.0,0.0,12.0,64.0,1.0,26.0,0.0,0.1036832091119,0.9352794627396037,0.8315962536277037,802.0548946649639,0
94.0,22155.0,54458.0,1465871.0,0.9987850390735068,26315.0,16.0,96476.0,11446.0,12.0,64.0,1.0,28.0,0.0,1.9781507895759,2.057349606217253,0.07919881664135309,4.003679449448477,0
158.0,23679.0,4414.0,1048575.0,0.9899676237184808,0.0,0.0,0.0,0.0,4.0,16.0,0.0,35.0,0.0,45.682015124565694,8.263358581766484,37.41865654279921,81.91113382534908,1
71.0,22155.0,54458.0,1465871.0,0.9987850390735068,26315.0,16.0,96476.0,11446.0,4.0,16.0,0.0,14.0,1.0,35.5986252004142,23.409236541596616,12.189388658817581,34.241178107843766,1
85.0,22155.0,54458.0,1465871.0,0.9987850390735068,26315.0,16.0,96476.0,11446.0,12.0,64.0,1.0,21.0,1.0,4.9659042881306,2.1732323824449367,2.7926719056856637,56.236925716845754,0
35.0,19841.0,33653.0,440620.0,0.9993401019218888,42031.0,5.0,38491.0,816701.0,4.0,27.40580368041992,1.0,28.0,0.0,24.2077296131879,14.62447890867522,9.58325070451268,39.587565036631574,0
3.0,19841.0,42457.0,900212.0,0.9989313587429705,50665.0,5.0,46827.0,816701.0,4.0,27.40580368041992,1.0,7.0,0.0,10.8779316340237,17.22398434895391,6.3460527149302095,58.33878101496058,0
118.0,23679.0,4414.0,1048575.0,0.9899676237184808,0.0,0.0,0.0,0.0,4.0,16.0,0.0,7.0,0.0,42.366155098941896,7.8905433229751365,34.47561177596676,81.37536128886947,1
189.0,6040.0,3706.0,1000209.0,0.9553163743776872,79347.0,49.0,385923.0,3655.0,4.0,16.0,0.0,8.0,0.0,2.014632409835,12.197053436581577,10.182421026746576,505.4232711157727,0
54.0,22155.0,54458.0,1465871.0,0.9987850390735068,26315.0,16.0,96476.0,11446.0,12.0,64.0,1.0,3.0,1.0,0.2526435828121,2.86860601371605,2.61596243090395,1035.4359298528213,0
91.0,22155.0,54458.0,1465871.0,0.9987850390735068,26315.0,16.0,96476.0,11446.0,4.0,16.0,0.0,24.0,0.0,35.9100380294934,30.42808007732234,5.4819579521710615,15.265809375274555,1
77.0,22155.0,54458.0,1465871.0,0.9987850390735068,26315.0,16.0,96476.0,11446.0,4.0,16.0,0.0,17.0,1.0,19.433533648932098,26.699388117302984,7.265854468370886,37.3882310835948,0
65.0,22155.0,54458.0,1465871.0,0.9987850390735068,26315.0,16.0,96476.0,11446.0,12.0,64.0,1.0,11.0,0.0,16.297066682287202,8.65932969215674,7.6377369901304615,46.86571601521206,0
10.0,19841.0,42457.0,900212.0,0.9989313587429705,50665.0,5.0,46827.0,816701.0,4.0,27.40580368041992,1.0,28.0,0.0,49.3834832664526,32.41891827954428,16.96456498690832,34.35271038977674,1
245.0,6040.0,3706.0,1000209.0,0.9553163743776872,79347.0,49.0,385923.0,3655.0,12.0,64.0,1.0,35.0,0.0,1.1268025702852,2.1851666738515765,1.0583641035663764,93.92631251262576,0
41.0,19841.0,38932.0,667850.0,0.9991354130849344,47308.0,5.0,43559.0,816701.0,4.0,27.40580368041992,1.0,13.0,0.0,5.500647685646,15.368837828216522,9.868190142570523,179.400512567305,0
74.0,22155.0,54458.0,1465871.0,0.9987850390735068,26315.0,16.0,96476.0,11446.0,4.0,16.0,0.0,16.0,1.0,35.0411977300589,26.146095506313554,8.895102223745344,25.384698012519657,1
238.0,6040.0,3706.0,1000209.0,0.9553163743776872,79347.0,49.0,385923.0,3655.0,12.0,64.0,1.0,31.0,0.0,0.0005986495389226874,2.4740200463808364,2.4734213968419136,413166.842372085,0
227.0,6040.0,3706.0,1000209.0,0.9553163743776872,79347.0,49.0,385923.0,3655.0,4.0,16.0,0.0,24.0,0.0,1.511211834572,6.602380358327111,5.091168523755111,336.8931083839092,0
182.0,6040.0,3706.0,1000209.0,0.9553163743776872,79347.0,49.0,385923.0,3655.0,4.0,16.0,0.0,4.0,1.0,10.7805984921966,8.106315633603494,2.6742828585931058,24.806441502564557,0
93.0,22155.0,54458.0,1465871.0,0.9987850390735068,26315.0,16.0,96476.0,11446.0,12.0,64.0,1.0,27.0,0.0,3.2678283057511,2.035545814102637,1.2322824916484634,37.7095237678109,0
109.0,22155.0,54458.0,1465871.0,0.9987850390735068,26315.0,16.0,96476.0,11446.0,4.0,16.0,0.0,38.0,0.0,61.7854455913234,34.75707506184097,27.02837052948243,43.745529826328635,2
228.0,6040.0,3706.0,1000209.0,0.9553163743776872,79347.0,49.0,385923.0,3655.0,12.0,64.0,1.0,25.0,0.0,6.4888155617494,0.697261825572204,5.791553736177196,89.25440523101847,0
247.0,6040.0,3706.0,1000209.0,0.9553163743776872,79347.0,49.0,385923.0,3655.0,12.0,64.0,1.0,36.0,0.0,0.055071140534098374,2.0665137652190166,2.011442624684918,3652.444102623032,0
